id,component,section,item,no,cn,en,nl
00_shared_contact-form-button-send,00_shared_contact,form,button,send,提交,Submit,Versturen
00_shared_contact-form-placeholder-email,00_shared_contact,form,placeholder,email,电子邮件,Email,E-mail
00_shared_contact-form-placeholder-message,00_shared_contact,form,placeholder,message,留言,Message,Bericht
00_shared_contact-form-placeholder-name,00_shared_contact,form,placeholder,name,姓名,Name,Naam
00_shared_contact-main-desc-1,00_shared_contact,main,desc,1,欢迎您与欧亚网络基金会（SEAN）联系，了解我们的各类项目与服务,"Contact the Stichting Europe-Asia Network (SEAN) for project, business, and cultural collaboration support.","Neem contact op met Stichting Europe-Asia Network (SEAN) voor ondersteuning bij projecten, zakelijke en culturele samenwerking."
00_shared-common-learn_more-,00_shared,common,learn_more-,,了解更多,Learn more,Leer meer
00_shared-common-read_more-,00_shared,common,read_more-,,阅读更多,Read more,Lees meer
00_shared-footer-header-copyright,00_shared,footer,header,copyright,版权所有,Copyright,Auteursrecht
00_shared-footer-header-designed_and_developed,00_shared,footer,header,designed_and_developed,设计与开发,Designed & Developed by,Onderdelen en ontwikkeling door
00_shared-footer-header-our_network,00_shared,footer,header,our_network,我们的网络,Our Network,Ons netwerk
00_shared-footer-header-our_partners,00_shared,footer,header,our_partners,我们的合作伙伴,Our Partners,Onze partners
00_shared-header-nav-about,00_shared,header,nav,about,关于我们,About,Over
00_shared-header-nav-contact,00_shared,header,nav,contact,联系我们,Contact,Contact
00_shared-header-nav-events,00_shared,header,nav,events,活动,Events,Evenementen
00_shared-header-nav-home,00_shared,header,nav,home,首页,Home,Home
00_shared-header-nav-news,00_shared,header,nav,news,新闻,News,Nieuws
00_shared-header-nav-partners,00_shared,header,nav,partners,合作伙伴,Partners,Partners
00_shared-header-nav-services,00_shared,header,nav,services,服务,Services,Diensten
HCC_00_home-hero-header-,HCC_00_home,hero,header-,,连接欧亚，共创未来。,"Connecting Eurasia, Creating the Future","Verbinden van Eurazië, Samen de toekomst creëren"
HCC_00_home-hero-li-1,HCC_00_home,hero,li,1,为中荷及欧盟企业的跨国业务提供高端优质的顾问服务,High-quality consulting services for cross-border China–Netherlands/EU business,Hoogwaardige adviesdiensten voor grensoverschrijdende China–Nederland/EU zaken
